Thread ID: 70233331333020
Fiber ID: 70233331295140
Total: 0.135067
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.22      0.001     0.000     0.000     0.001      600   ActiveSupport::Subscriber#event_stack 
  0.22      0.005     0.000     0.000     0.004       50   ActionController::LogSubscriber#start_processing 
  0.22      0.019     0.000     0.000     0.019       50   ActionController::MimeResponds#respond_to 
  0.22      0.000     0.000     0.000     0.000      100   Regexp#=== 
  0.22      0.002     0.000     0.000     0.002      200   ActiveSupport::Subscriber#start 
  0.22      0.000     0.000     0.000     0.000       50   <Module::OpenSSL::Random>#random_bytes 
  0.21      0.001     0.000     0.000     0.000      450   Hash#each_pair 
  0.21      0.061     0.000     0.000     0.061       50   ActionController::Instrumentation#process_action 
  0.21      0.000     0.000     0.000     0.000      450   ActiveSupport::TaggedLogging::Formatter#current_tags 
  0.21      0.000     0.000     0.000     0.000      450   <Class::Proc>#new 
  0.21      0.087     0.000     0.000     0.086       50   Rails::Rack::Logger#call_app 
  0.21      0.000     0.000     0.000     0.000      550   Symbol#inspect 
  0.20      0.001     0.000     0.000     0.000      450   <Class::ActionController::Base>#logger 
  0.20      0.000     0.000     0.000     0.000       50   Regexp#initialize 
  0.20      0.000     0.000     0.000     0.000     2101   Kernel#class 
  0.20      0.001     0.000     0.000     0.000      100   BasicObject#instance_exec 
  0.19      0.002     0.000     0.000     0.002      150   ActionDispatch::Request#controller_class_for 
  0.19      0.000     0.000     0.000     0.000      200   ActiveSupport::Notifications::InstrumentationRegistry#instrumenter_for 
  0.19      0.003     0.000     0.000     0.002       50   ActionDispatch::Journey::Formatter#match_route 
  0.19      0.004     0.000     0.000     0.004       50   Rack::Test::Session#env_for 
  0.19      0.000     0.000     0.000     0.000      200   <Class::File>#join 
  0.19      0.000     0.000     0.000     0.000     1150  *ActiveSupport::OrderedOptions#[] 
  0.18      0.001     0.000     0.000     0.001      550   ActiveSupport::LoggerThreadSafeLevel#level 
  0.18      0.000     0.000     0.000     0.000      700   Set#include? 
  0.18      0.001     0.000     0.000     0.000      550   #<Class:0x00007fc0f2970058>#logger 
  0.18      0.001     0.000     0.000     0.000      100   Array#reject! 
  0.18      0.000     0.000     0.000     0.000       50   URI::Generic#to_s 
  0.18      0.002     0.000     0.000     0.002       50   ActiveSupport::Testing::TaggedLogging#before_setup 
  0.18      0.000     0.000     0.000     0.000      750   Symbol#to_s 
  0.18      0.000     0.000     0.000     0.000     1900   Kernel#block_given? 
  0.17      0.006     0.000     0.000     0.006      701   Kernel#public_send 
  0.17      0.006     0.000     0.000     0.006      150   ActionDispatch::Http::Parameters#parameters 
  0.17      0.000     0.000     0.000     0.000      600   ActiveSupport::Configurable::ClassMethods#config 
  0.17      0.135     0.000     0.000     0.134       50   ActiveSupport::Testing::Performance#run_test 
  0.17      0.000     0.000     0.000     0.000      350   String#gsub! 
  0.17      0.001     0.000     0.000     0.000      200   ActiveSupport::HashWithIndifferentAccess#set_defaults 
  0.17      0.000     0.000     0.000     0.000      150   Array#delete 
  0.17      0.000     0.000     0.000     0.000      750   Time#initialize 
  0.17      0.001     0.000     0.000     0.000      300   ActionDispatch::Journey::Path::Pattern#match 
  0.16      0.000     0.000     0.000     0.000      350   Kernel#raise 
  0.16      0.002     0.000     0.000     0.002       50   ActionDispatch::Response#initialize 
  0.16      0.000     0.000     0.000     0.000     1000   Kernel#kind_of? 
  0.16      0.003     0.000     0.000     0.003      100   ActiveSupport::ExecutionWrapper::RunHook#before 
  0.16      0.001     0.000     0.000     0.000      450  *ActiveSupport::HashWithIndifferentAccess#[]= 
  0.16      0.001     0.000     0.000     0.001      300   <Class::ActiveRecord::Base>#connection_handler 
  0.16      0.032     0.000     0.000     0.032       50   ActionController::Rescue#process_action 
  0.16      0.000     0.000     0.000     0.000       50   Hash#hash 
  0.16      0.001     0.000     0.000     0.001       50   ActionDispatch::Journey::GTG::Simulator#memos 
  0.16      0.000     0.000     0.000     0.000      550   ActiveSupport::LoggerThreadSafeLevel#local_log_id 
  0.16      0.000     0.000     0.000     0.000      250   Array#reverse_each 
  0.16      0.003     0.000     0.000     0.003      100   ActiveSupport::ExecutionWrapper::CompleteHook#before 
  0.15      0.001     0.000     0.000     0.001      150   ActiveSupport::Inflector#camelize 
  0.15      0.014     0.000     0.000     0.014       50   ActiveRecord::Railties::ControllerRuntime#cleanup_view_runtime 
  0.15      0.000     0.000     0.000     0.000     1400   BasicObject#initialize 
  0.15      0.001     0.000     0.000     0.001      450   ActionController::LogSubscriber#logger 
  0.15      0.000     0.000     0.000     0.000      200   Array#inspect 
  0.15      0.000     0.000     0.000     0.000      750   Array#include? 
  0.15      0.001     0.000     0.000     0.000      250   Concurrent::Collection::NonConcurrentMapBackend#each_pair 
  0.14      0.001     0.000     0.000     0.000       50   Hash#inspect 
  0.14      0.001     0.000     0.000     0.001      200   ActionDispatch::Journey::GTG::TransitionTable#move 
  0.14      0.002     0.000     0.000     0.002       50   ActionDispatch::FileHandler#match? 
  0.14      0.001     0.000     0.000     0.001      200   <Module::ActiveSupport::Notifications>#instrumenter 
  0.14      0.000     0.000     0.000     0.000      651   Kernel#instance_variable_defined? 
  0.14      0.000     0.000     0.000     0.000      200   ActiveSupport::NumericWithFormat#to_s 
  0.14      0.000     0.000     0.000     0.000      400   Hash#[] 
  0.13      0.006     0.000     0.000     0.006       50   ActionView::TemplateRenderer#determine_template 
  0.13      0.000     0.000     0.000     0.000       50   ActionController::Rendering#_process_variant 
  0.13      0.004     0.000     0.000     0.004      100   ActiveRecord::ConnectionAdapters::AbstractAdapter#log 
  0.13      0.001     0.000     0.000     0.000      300   ActiveRecord::ConnectionAdapters::ConnectionHandler#owner_to_pool 
  0.13      0.000     0.000     0.000     0.000      800   Thread::Mutex#lock 
  0.13      0.000     0.000     0.000     0.000      300   Rack::Request::Helpers#query_string 
  0.13      0.001     0.000     0.000     0.001      150   ActionDispatch::Http::MimeNegotiation#formats 
  0.13      0.001     0.000     0.000     0.001      200   ActiveRecord::ConnectionAdapters::ConnectionPool#connection 
  0.13      0.001     0.000     0.000     0.000       50   URI::RFC3986_Parser#split 
  0.13      0.004     0.000     0.000     0.004      400  *Rack::Request::Env#fetch_header 
  0.13      0.004     0.000     0.000     0.004       50   ActionDispatch::Journey::Router#find_routes 
  0.13      0.000     0.000     0.000     0.000      450   String#initialize_copy 
  0.13      0.001     0.000     0.000     0.001       50   ActiveRecord::Railties::ControllerRuntime#append_info_to_payload 
  0.12      0.064     0.000     0.000     0.064       50   ActionView::Rendering#process 
  0.12      0.000     0.000     0.000     0.000      300   ActiveSupport::TaggedLogging::Formatter#tags_text 
  0.12      0.000     0.000     0.000     0.000      300   Array#hash 
  0.12      0.000     0.000     0.000     0.000      250   Kernel#Array 
  0.12      0.000     0.000     0.000     0.000      150   String#gsub 
  0.12      0.000     0.000     0.000     0.000     1150   Kernel#nil? 
  0.12      0.000     0.000     0.000     0.000      300   Rack::Request::Helpers#script_name 
  0.12      0.000     0.000     0.000     0.000       50   URI::RFC2396_Parser#split 
  0.12      0.002     0.000     0.000     0.002      300   ActionView::ViewPaths#lookup_context 
  0.12      0.000     0.000     0.000     0.000      250   ActionDispatch::Request#request_method 
  0.12      0.000     0.000     0.000     0.000      100   ActiveSupport::ExecutionWrapper#__callbacks 
  0.12      0.000     0.000     0.000     0.000      150   Rack::Request::Helpers#path 
  0.12      0.000     0.000     0.000     0.000      150   #<Class:0x00007fc0f1a66148>#[] 
  0.12      0.000     0.000     0.000     0.000      250   StringScanner#scan 
  0.12      0.000     0.000     0.000     0.000      250   Regexp#match? 
  0.12      0.068     0.000     0.000     0.068       50   ActionDispatch::Routing::RouteSet::Dispatcher#serve 
  0.12      0.000     0.000     0.000     0.000     1050   ActiveSupport::Callbacks::Filters::Environment#halted 
  0.12      0.000     0.000     0.000     0.000       50   ActionView::Rendering#_normalize_args 
  0.12      0.001     0.000     0.000     0.001      100   <Class::ActionDispatch::Request::Utils::ParamEncoder>#normalize_encode_params 
  0.12      0.000     0.000     0.000     0.000      100   Hash#delete_if 
  0.12      0.001     0.000     0.000     0.000       50   ActionView::Rendering#_process_format 
  0.12      0.000     0.000     0.000     0.000      600   Array#compact 
  0.12      0.000     0.000     0.000     0.000      300   Array#eql? 
  0.11      0.001     0.000     0.000     0.000      100   Kernel#clone 
  0.11      0.000     0.000     0.000     0.000      100   ActionView::LookupContext::Accessors#formats= 
  0.11      0.000     0.000     0.000     0.000      300   <Class::ActiveRecord::RuntimeRegistry>#connection_handler 
  0.11      0.000     0.000     0.000     0.000       50   ActionView::Rendering#_normalize_options 
  0.11      0.000     0.000     0.000     0.000      600   ActiveSupport::SubscriberQueueRegistry#get_queue 
  0.11      0.000     0.000     0.000     0.000       50   ActionController::MimeResponds::Collector#response 
  0.11      0.001     0.000     0.000     0.000      250  *<Class::ActionDispatch::Request::Utils>#check_param_encoding 
  0.11      0.001     0.000     0.000     0.001      100   ActionView::Resolver::Cache#cache 
  0.11      0.001     0.000     0.000     0.001       50   ActionDispatch::Journey::Formatter#extract_parameterized_parts 
  0.11      0.002     0.000     0.000     0.002      200   ActiveSupport::LogSubscriber#start 
  0.11      0.001     0.000     0.000     0.001      100   ActionView::LookupContext#formats= 
  0.11      0.001     0.000     0.000     0.001       50   Rails::Engine#build_request 
  0.11      0.000     0.000     0.000     0.000      150   Rack::Request::Helpers#request_method 
  0.11      0.000     0.000     0.000     0.000      100   ActiveRecord::Relation#reset 
  0.11      0.000     0.000     0.000     0.000      100   SQLite3::Statement#step 
  0.10      0.105     0.000     0.000     0.105       50   ActionDispatch::Static#call 
  0.10      0.000     0.000     0.000     0.000      150   ActiveSupport::InheritableOptions#initialize 
  0.10      0.005     0.000     0.000     0.005       50   ActionDispatch::Routing::RouteSet::NamedRouteCollection::UrlHelper#call 
  0.10      0.000     0.000     0.000     0.000      300   Concurrent::Collection::NonConcurrentMapBackend#[]= 
  0.10      0.011     0.000     0.000     0.011      200   ActiveSupport::LogSubscriber#finish 
  0.10      0.107     0.000     0.000     0.107       50   Rack::MockSession#request 
  0.10      0.000     0.000     0.000     0.000      150   ActionDispatch::Response#get_header 
  0.10      0.001     0.000     0.000     0.001      200   Enumerable#map 
  0.10      0.001     0.000     0.000     0.001       50   ActionView::Base#initialize 
  0.10      0.002     0.000     0.000     0.002       50   ActionDispatch::Response#content_type= 
  0.10      0.000     0.000     0.000     0.000      350   <Class::ActiveSupport::Callbacks::Filters::Environment>#new 
  0.10      0.001     0.000     0.000     0.001       50   <Class::ActionDispatch::Http::ParameterFilter::CompiledFilter>#compile 
  0.10      0.000     0.000     0.000     0.000       50   <Class::ActionDispatch::Journey::Router::Utils>#normalize_path 
  0.10      0.051     0.000     0.000     0.051      100   <Module::ActiveSupport::Notifications>#instrument 
  0.10      0.002     0.000     0.000     0.001      150   String#camelize 
  0.10      0.002     0.000     0.000     0.002      100   ActiveRecord::Scoping::Named::ClassMethods#all 
  0.10      0.001     0.000     0.000     0.001      150   <Class::ActiveRecord::Scoping::ScopeRegistry>#value_for 
  0.10      0.001     0.000     0.000     0.000       50   Rack::Request::Helpers#ip 
  0.10      0.079     0.000     0.000     0.079       50   ActionDispatch::Callbacks#call 
  0.10      0.122     0.000     0.000     0.122       50   RenderJsonTest#test_render_json 
  0.10      0.002     0.000     0.000     0.002      100   ActiveRecord::ConnectionHandling#connected? 
  0.10      0.000     0.000     0.000     0.000     1000   Thread::Mutex#unlock 
  0.10      0.000     0.000     0.000     0.000       50   ActiveRecord::Delegation::DelegateCache#relation_delegate_class 
  0.10      0.000     0.000     0.000     0.000      100   ActiveRecord::Inheritance::ClassMethods#base_class 
  0.10      0.000     0.000     0.000     0.000      250   ActiveSupport::HashWithIndifferentAccess#delete 
  0.10      0.000     0.000     0.000     0.000       50   <Module::ActionDispatch::Http::URL>#path_for 
  0.10      0.001     0.000     0.000     0.000      100   ActiveRecord::LogSubscriber#sql 
  0.10      0.000     0.000     0.000     0.000      150   String#capitalize 
  0.10      0.001     0.000     0.000     0.001       50   ActionView::LookupContext#initialize 
  0.10      0.000     0.000     0.000     0.000      150   ActiveSupport::Dependencies::ClassCache#get 
  0.10      0.000     0.000     0.000     0.000      200   I18n::Base#config 
  0.10      0.001     0.000     0.000     0.001      200   ActiveRecord::ConnectionAdapters::ConnectionHandler#connection_pool_list 
  0.10      0.012     0.000     0.000     0.012      300   Logger#info 
  0.10      0.087     0.000     0.000     0.087       50   ActiveSupport::TaggedLogging::Formatter#tagged 
  0.10      0.009     0.000     0.000     0.009       50   ActionView::Rendering#_render_template 
  0.10      0.001     0.000     0.000     0.001      100   ActionView::Resolver#cached 
  0.09      0.000     0.000     0.000     0.000      150   ActiveSupport::Inflector#inflections 
  0.09      0.000     0.000     0.000     0.000      100   URI::Generic#set_userinfo 
  0.09      0.079     0.000     0.000     0.079       50   ActionDispatch::DebugExceptions#call 
  0.09      0.001     0.000     0.000     0.001      100   ActionDispatch::Request#fullpath 
  0.09      0.000     0.000     0.000     0.000       50   <Class::ActionView::Base>#default_formats 
  0.09      0.000     0.000     0.000     0.000      100   ActiveSupport::Rescuable::ClassMethods#find_rescue_handler 
  0.09      0.000     0.000     0.000     0.000      400   String#force_encoding 
  0.09      0.000     0.000     0.000     0.000       50   String#sub! 
  0.09      0.080     0.000     0.000     0.080       50   ActionDispatch::ShowExceptions#call 
  0.09      0.000     0.000     0.000     0.000      150   URI::Generic#set_port 
  0.09      0.090     0.000     0.000     0.090       50   ActiveSupport::Cache::Strategy::LocalCache::Middleware#call 
  0.09      0.001     0.000     0.000     0.001      150   <Class::ActiveRecord::LogSubscriber>#reset_runtime 
  0.09      0.000     0.000     0.000     0.000       50   ActionView::Helpers::ControllerHelper#assign_controller 
  0.09      0.000     0.000     0.000     0.000       50   ActionDispatch::Routing::RouteSet::Generator#initialize 
