Thread ID: 70233331333020
Fiber ID: 70233331295140
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000       50   Thread::ConditionVariable#broadcast 
   NaN      0.000     0.000     0.000     0.000       50   MonitorMixin::ConditionVariable#broadcast 
   NaN      0.000     0.000     0.000     0.000       50   ActiveSupport::Concurrency::ShareLock#stop_sharing 
   NaN      0.000     0.000     0.000     0.000       50   ActiveSupport::Dependencies::Interlock#done_running 
   NaN      0.000     0.000     0.000     0.000       50   <Module::Rails::Application::Finisher::InterlockHook>#complete 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::ConnectionAdapters::Transaction#closed? 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::ConnectionAdapters::Transaction#open? 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::ConnectionAdapters::DatabaseStatements#current_transaction 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::ConnectionAdapters::DatabaseStatements#transaction_open? 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::ConnectionAdapters::QueryCache#clear_query_cache 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::ConnectionAdapters::QueryCache#disable_query_cache! 
   NaN      0.000     0.000     0.000     0.000      100   Concurrent::Collection::NonConcurrentMapBackend#delete 
   NaN      0.000     0.000     0.000     0.000      100   Concurrent::Collection::MriMapBackend#delete 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::ConnectionAdapters::QueryCache::ConnectionPoolConfiguration#disable_query_cache! 
   NaN      0.000     0.000     0.000     0.000       50   <Class::ActiveRecord::QueryCache>#complete 
   NaN      0.000     0.000     0.000     0.000      300   ActiveSupport::ExecutionWrapper::CompleteHook#hook 
   NaN      0.000     0.000     0.000     0.000      100   ActiveSupport::ExecutionWrapper::CompleteHook#before 
   NaN      0.000     0.000     0.000     0.000       50   ActiveSupport::ExecutionWrapper#complete! 
   NaN      0.000     0.000     0.000     0.000       50   ActiveSupport::TaggedLogging::Formatter#pop_tags 
   NaN      0.000     0.000     0.000     0.000       50   ActiveSupport::TaggedLogging::Formatter#clear_tags! 
   NaN      0.000     0.000     0.000     0.000       50   ActiveSupport::TaggedLogging#clear_tags! 
   NaN      0.000     0.000     0.000     0.000       50   ActiveSupport::TaggedLogging#flush 
   NaN      0.000     0.000     0.000     0.000      100   <Class::ActiveSupport::LogSubscriber>#logger 
   NaN      0.000     0.000     0.000     0.000       50   <Class::ActiveSupport::LogSubscriber>#flush_all! 
   NaN      0.000     0.000     0.000     0.000       50   ActiveSupport::Notifications::Instrumenter#finish 
   NaN      0.000     0.000     0.000     0.000       50   Rails::Rack::Logger#finish 
   NaN      0.000     0.000     0.000     0.000      100   ActionDispatch::Request#show_exceptions? 
   NaN      0.000     0.000     0.000     0.000       50   String#== 
   NaN      0.000     0.000     0.000     0.000      100   Symbol#[] 
   NaN      0.000     0.000     0.000     0.000       50   ActiveSupport::StringInquirer#method_missing 
   NaN      0.000     0.000     0.000     0.000       50   <Module::Rails>#env 
   NaN      0.000     0.000     0.000     0.000       50   Float#round 
   NaN      0.000     0.000     0.000     0.000       50   <Class::ActionDispatch::ExceptionWrapper>#status_code_for_exception 
